source,entity_label,entity_text,count
kaggle,GPE,fort wayne,49
pursue,MILITARY,base,49
kaggle,LOC,augusta,49
kaggle,LOC,marietta,49
kaggle,GPE,marietta,49
kaggle,LOC,santa monica,49
kaggle,GPE,fort collins,48
kaggle,GPE,fremont,48
kaggle,LOC,fairbanks,48
kaggle,GPE,fairbanks,48
kaggle,LOC,palm springs,48
kaggle,LOC,erie,48
kaggle,LOC,las cruces,48
kaggle,LOC,kennewick,48
kaggle,LOC,puyallup,48
kaggle,GPE,palm springs,48
kaggle,GPE,kennewick,48
kaggle,GPE,las cruces,48
kaggle,GPE,puyallup,48
kaggle,GPE,erie,48
kaggle,LOC,fort collins,48
kaggle,LOC,fremont,48
kaggle,GPE,maricopa,47
kaggle,LOC,wenatchee,47
kaggle,LOC,bowling green,47
kaggle,LOC,maricopa,47
kaggle,GPE,bowling green,47
kaggle,GPE,yuma,47
kaggle,LOC,athens,47
kaggle,GPE,wenatchee,47
kaggle,GPE,athens,47
kaggle,LOC,yuma,47
kaggle,DATE,1980,46
kaggle,GPE,portsmouth,46
kaggle,LOC,little rock,46
kaggle,GPE,bothell,46
kaggle,GPE,flint,46
kaggle,LOC,portsmouth,46
kaggle,LOC,hollywood,46
kaggle,LOC,savannah,46
kaggle,DATE,2014,46
kaggle,GPE,new orleans,46
kaggle,LOC,new orleans,46
kaggle,GPE,hollywood,46
kaggle,LOC,flint,46
kaggle,LOC,bothell,46
kaggle,GPE,little rock,46
kaggle,GPE,savannah,46
kaggle,GPE,carlsbad,45
kaggle,LOC,clovis,45
kaggle,GPE,clarksville,45
kaggle,GPE,syracuse,45
kaggle,LOC,cedar rapids,45
kaggle,LOC,carlsbad,45
kaggle,DATE,1998,45
kaggle,GPE,cedar rapids,45
kaggle,LOC,clarksville,45
kaggle,GPE,clovis,45
kaggle,LOC,syracuse,45
kaggle,GPE,st. augustine,44
kaggle,GPE,frankfort,44
kaggle,LOC,st. augustine,44
pursue,MILITARY,radar,44
kaggle,GPE,san bernardino,44
kaggle,LOC,ocala,44
kaggle,LOC,san bernardino,44
kaggle,LOC,chico,44
kaggle,GPE,chico,44
kaggle,DATE,1975,44
kaggle,GPE,ocala,44
kaggle,LOC,frankfort,44
kaggle,GPE,hudson,43
kaggle,LOC,eureka,43
kaggle,GPE,eureka,43
pursue,DATE,1947,43
kaggle,GPE,cape coral,43
kaggle,LOC,cape coral,43
kaggle,LOC,hudson,43
kaggle,LOC,conway,42
kaggle,LOC,evansville,42
kaggle,LOC,oxford,42
kaggle,GPE,oxford,42
kaggle,LOC,asheville,42
kaggle,LOC,lake worth,42
kaggle,GPE,conway,42
kaggle,GPE,lynnwood,42
kaggle,GPE,evansville,42
kaggle,LOC,lynnwood,42
kaggle,GPE,lake worth,42
kaggle,GPE,roswell,42
kaggle,GPE,asheville,42
kaggle,GPE,corona,41
kaggle,LOC,wellington,41
kaggle,LOC,danville,41
kaggle,GPE,whittier,41
kaggle,LOC,hamilton (canada),41
kaggle,GPE,kelowna (canada),41
kaggle,GPE,danville,41
kaggle,GPE,orange,41
kaggle,GPE,terre haute,41
kaggle,LOC,reading,41
kaggle,GPE,hamilton (canada),41
kaggle,LOC,terre haute,41
kaggle,LOC,corona,41
kaggle,GPE,wellington,41
kaggle,LOC,akron,41
kaggle,DATE,1966,41
kaggle,LOC,edmonds,41
kaggle,LOC,whittier,41
